1492,521,1062,524,1483.8119017444806,524,
1492,518,1063,516,1484.4121839854088,516,
1492,518,1064,504,1485.0125110052354,504,
1493,517,1078,493,1493.4218121636009,493,
1498,486,1082,484,1495.826097527934,484,
1501,455,1084,473,1497.0285130420912,473,
1501,439,1084,465,1497.0285130420912,465,
1501,433,1086,461,1498.2311108501867,461,
1501,433,1091,450,1501.2384049086031,450,
1501,433,1116,440,1516.292161547343,440,
1501,425,1182,424,1556.1762515496557,424,
1500,397,1179,426,1554.3587548121498,426,
1500,372,1188,424,1559.8125806287123,424,
1506,346,1202,414,1568.3043175157384,414,
1506,344,1223,405,1581.060422387,405,
1506,344,1244,396,1593.8390673508138,396,
1506,344,1297,380,1626.1927763019844,380,
1509,343,1304,380,1630.4771634190547,380,
1514,338,1300,376,1628.0286157699747,376,
1515,337,1301,373,1628.640670985107,373,
1514,339,1305,369,1631.0894366389114,369,
1510,342,1326,366,1643.9598569145196,366,
1510,357,1344,365,1655.0111234977107,365,
1510,380,1355,388,1661.7736446509575,388,
1506,404,1312,423,1635.3768807263255,423,
1506,425,1244,441,1593.8390673508138,441,
1506,425,1190,443,1561.0250872477895,443,
1506,425,1166,441,1546.4880493024784,441,
1502,434,1174,440,1551.3305791376304,440,
1493,454,1191,438,1561.6314151641009,438,
1483,471,1203,437,1568.9112456364178,437,
1477,480,1214,436,1575.5907827243518,436,
1476,482,1230,436,1585.3174472043233,436,
1476,482,1224,435,1581.6684151251511,435,
1476,482,1214,435,1575.5907827243518,435,
1466,508,1184,435,1557.3881631048632,435,
1455,564,1167,435,1547.093194377468,435,
1447,594,1151,435,1537.4167044329347,435,
1446,596,1096,442,1504.2468449867306,442,
1446,596,1040,459,1470.6169457239512,459,
1444,596,1014,475,1455.0502833931503,475,
1437,600,1011,514,1453.2560112792873,514,
1416,610,1006,531,1450.2664144191162,531,
1407,616,989,543,1440.1097385003845,543,
1407,616,929,549,1404.3586416957605,549,
1407,616,898,547,1385.9440779440602,547,
1400,620,862,562,1364.6062731373918,562,
1367,633,859,559,1362.8303496298233,559,
1353,638,852,571,1358.6878427150905,571,
1349,639,829,586,1345.0895829004176,586,
1349,639,824,590,1342.1360170397024,590,
1349,640,814,593,1336.231616427554,593,
1340,644,802,593,1329.1511045279285,593,
1293,649,779,593,1315.5944736599563,593,
1272,652,765,594,1307.3517129554825,594,
1272,652,748,598,1297.3517591739987,598,
1272,652,735,599,1289.7113919357507,599,
1272,652,714,602,1277.3812625442906,602,
1270,653,700,605,1269.1692958098104,605,
1244,659,695,605,1266.238005956712,605,
1216,661,682,606,1258.6204468828798,606,
1213,663,677,606,1255.692065837165,606,
1213,663,673,608,1253.3499369117985,608,
1213,663,665,610,1248.6672069619685,610,
1212,664,654,611,1242.2317566042261,611,
1189,669,636,613,1231.7091781379895,613,
1127,675,634,614,1230.540622062867,614,
1118,677,629,615,1227.619769661781,615,
1118,677,607,621,1214.7770658740765,621,
1118,677,577,625,1197.2876373626837,625,
1118,677,541,632,1176.334938237508,632,
1103,677,484,637,1143.2341799843562,637,
1078,682,438,643,1116.5849188955635,643,
1071,684,405,649,1097.5005113329044,649,
1071,684,384,654,1085.3700207622405,654,
1071,684,364,660,1073.8271526011881,660,
1063,684,335,668,1057.1069037524035,668,
1033,684,323,674,1050.1939206507873,674,
1014,681,282,685,1026.5992504012538,685,
1007,679,290,688,1031.2001327914995,688,
1007,679,283,692,1027.1742833498556,692,
1007,679,262,697,1015.1031900632347,697,
1007,679,244,698,1004.7641296830805,698,
994,666,234,702,999.0231864492607,702,
981,657,240,705,1002.4674988826107,705,
969,649,240,710,1002.4674988826107,710,
964,642,241,714,1003.0416248209601,714,
964,641,246,717,1005.9125723405908,717,
964,641,257,716,1012.2305319826037,716,
964,639,258,716,1012.8050205166994,716,
965,617,279,708,1024.8742836785452,708,
977,579,270,708,1019.700567561959,708,
986,539,229,716,996.1535041646603,716,
985,535,204,700,981.8128821787134,700,
985,535,113,685,929.7183400745166,685,
985,535,70,668,905.1567330593622,668,
977,512,56,623,897.167105032266,623,
959,477,34,616,884.618904647445,616,
954,473,31,599,882.9084338244879,599,
954,473,31,589,882.9084338244879,589,
954,473,15,580,873.7885099489486,580,
964,415,0,558,865.2424922885948,558,
984,329,0,531,865.2424922885948,531,
985,321,0,489,865.2424922885948,489,
985,321,0,444,865.2424922885948,444,
985,321,0,390,865.2424922885948,390,
985,321,0,351,865.2424922885948,351,
985,318,0,334,865.2424922885948,334,
985,286,36,315,885.7593042547788,315,
985,266,17,320,874.9282635420617,320,
985,266,46,311,891.4623363502163,311,
985,266,67,318,903.4443778943604,318,
985,264,123,315,935.4352168916633,315,
985,250,240,298,1002.4674988826107,298,
984,232,253,288,1009.9327926185252,288,
983,231,235,282,999.597185864643,282,
983,231,262,269,1015.1031900632347,269,
983,231,284,265,1027.749338355084,265,
983,231,312,269,1043.8599220164733,269,
983,227,329,259,1053.649996908293,259,
974,210,349,254,1065.1762771339268,254,
969,202,319,258,1047.890328858461,258,
969,202,309,261,1042.1329456296726,261,
968,202,311,267,1043.2842405579456,267,
932,198,334,282,1056.530694726031,282,
852,186,331,270,1054.8022066626181,270,
